TP_FAIXA_ETARIA,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_NACIONALIDADE,TP_ST_CONCLUSAO,TP_ANO_CONCLUIU,TP_ESCOLA,TP_ENSINO,IN_TREINEIRO,CO_MUNICIPIO_ESC,NO_MUNICIPIO_ESC,CO_UF_ESC,SG_UF_ESC,TP_DEPENDENCIA_ADM_ESC,TP_LOCALIZACAO_ESC,TP_SIT_FUNC_ESC,CO_MUNICIPIO_PROVA,CO_UF_PROVA,SG_UF_PROVA,TP_PRESENCA_CN,TP_PRESENCA_CH,TP_PRESENCA_LC,TP_PRESENCA_MT,CO_PROVA_CN,CO_PROVA_CH,CO_PROVA_LC,CO_PROVA_MT,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,TP_LINGUA,TP_STATUS_REDACAO,NU_NOTA_COMP1,NU_NOTA_COMP2,NU_NOTA_COMP3,NU_NOTA_COMP4,NU_NOTA_COMP5,NU_NOTA_REDACAO,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023,Q024,Q025
13,F,2,4,1,1,0,1,,0,,,,,,,,1200401,12,AC,1,1,1,1,1223.0,1194.0,1203.0,1213.0,410.2,486.5,422.7,440.0,1,1.0,80.0,120.0,100.0,100.0,80.0,480.0,B,B,B,D,4,B,A,B,C,A,B,B,A,B,A,A,A,A,B,A,A,C,A,A,A
2,F,0,3,1,2,0,2,1.0,0,1200401.0,Rio Branco,12.0,AC,2.0,1.0,1.0,1200401,12,AC,1,1,1,1,1223.0,1194.0,1203.0,1213.0,468.3,527.1,526.4,578.5,1,1.0,140.0,120.0,120.0,140.0,100.0,620.0,G,G,D,D,4,G,A,D,D,B,C,B,B,B,A,B,A,A,C,A,A,E,A,B,B
3,F,1,2,1,2,0,2,1.0,0,,,,,,,,1200401,12,AC,1,1,1,1,1222.0,1191.0,1201.0,1212.0,478.2,501.1,504.9,581.6,1,1.0,100.0,180.0,120.0,100.0,80.0,580.0,E,E,C,E,4,E,A,B,C,A,C,B,B,A,B,B,A,A,B,A,A,E,A,A,B
14,M,2,3,1,1,17,1,,0,,,,,,,,1200401,12,AC,0,0,0,0,,,,,,,,,1,,,,,,,,B,D,A,A,4,G,A,B,C,B,A,B,A,B,A,A,A,A,C,A,A,D,A,A,B
3,F,1,0,1,1,0,1,,0,,,,,,,,1200203,12,AC,1,1,1,1,1222.0,1191.0,1201.0,1212.0,355.9,535.2,517.0,393.5,1,1.0,120.0,160.0,120.0,120.0,80.0,600.0,F,F,F,D,4,B,A,B,D,B,B,B,A,B,B,A,A,A,B,A,A,B,A,B,B
4,F,1,3,1,1,1,1,,0,,,,,,,,1200401,12,AC,0,0,0,0,,,,,,,,,1,,,,,,,,B,B,F,F,1,A,A,B,B,A,A,B,A,B,B,A,A,A,B,A,A,B,A,A,B
2,F,1,3,1,2,0,2,1.0,0,,,,,,,,1200401,12,AC,1,1,1,1,1222.0,1191.0,1201.0,1212.0,399.9,548.9,447.6,338.4,1,1.0,120.0,100.0,100.0,120.0,80.0,520.0,B,E,C,B,4,B,A,B,C,A,A,B,A,B,B,A,A,A,B,A,A,D,A,A,B
7,F,1,2,1,1,4,1,,0,,,,,,,,1200401,12,AC,1,1,1,1,1221.0,1193.0,1204.0,1211.0,476.0,540.7,549.4,531.1,1,1.0,100.0,100.0,100.0,120.0,60.0,480.0,E,E,C,B,5,E,A,B,C,A,B,B,B,B,B,A,A,A,B,A,A,E,A,A,B
10,F,1,3,1,1,0,1,,0,,,,,,,,1200401,12,AC,1,1,1,1,1224.0,1192.0,1202.0,1214.0,446.7,391.4,428.7,367.2,1,1.0,120.0,40.0,40.0,120.0,0.0,320.0,D,D,C,B,5,B,A,C,D,A,A,B,A,B,B,A,A,A,B,B,A,D,B,C,B
1,M,1,3,1,3,0,1,,1,,,,,,,,1200302,12,AC,1,1,1,1,1224.0,1192.0,1202.0,1214.0,495.6,529.1,431.0,549.5,1,1.0,100.0,120.0,120.0,100.0,120.0,560.0,F,F,D,B,7,G,A,C,D,A,B,B,A,A,B,A,A,A,B,A,A,E,A,B,B
